Inputs		Function-Values
-0.65		1.18945
-0.64		1.1843
-0.63		1.17919
-0.62		1.17412
-0.61		1.1691
-0.6		1.16412
-0.59		1.15919
-0.58		1.15432
-0.57		1.14949
-0.56		1.14472
-0.55		1.14
-0.54		1.13534
-0.53		1.13074
-0.52		1.1262
-0.51		1.12171
-0.5		1.1173
-0.49		1.11294
-0.48		1.10865
-0.47		1.10442
-0.46		1.10027
-0.45		1.09618
-0.44		1.09217
-0.43		1.08822
-0.42		1.08435
-0.41		1.08055
-0.4		1.07683
-0.39		1.07318
-0.38		1.06961
-0.37		1.06613
-0.36		1.06272
-0.35		1.05939
-0.34		1.05614
-0.33		1.05298
-0.32		1.0499
-0.31		1.0469
-0.3		1.04399
-0.29		1.04117
-0.28		1.03844
-0.27		1.03579
-0.26		1.03323
-0.25		1.03076
-0.24		1.02839
-0.23		1.0261
-0.22		1.02391
-0.21		1.02181
-0.2		1.0198
-0.19		1.01789
-0.18		1.01607
-0.17		1.01435
-0.16		1.01272
-0.15		1.01119
-0.14		1.00975
-0.13		1.00841
-0.12		1.00717
-0.11		1.00603
-0.1		1.00499
-0.09		1.00404
-0.08		1.00319
-0.07		1.00245
-0.06		1.0018
-0.05		1.00125
-0.04		1.0008
-0.03		1.00045
-0.02		1.0002
-0.01		1.00005
-1.68889e-013		1
0.01		1.00005
0.02		1.0002
0.03		1.00045
0.04		1.0008
0.05		1.00125
0.06		1.0018
0.07		1.00245
0.08		1.00319
0.09		1.00404
0.1		1.00499
0.11		1.00603
0.12		1.00717
0.13		1.00841
0.14		1.00975
0.15		1.01119
0.16		1.01272
0.17		1.01435
0.18		1.01607
0.19		1.01789
0.2		1.0198
0.21		1.02181
0.22		1.02391
0.23		1.0261
0.24		1.02839
0.25		1.03076
0.26		1.03323
0.27		1.03579
0.28		1.03844
0.29		1.04117
0.3		1.04399
0.31		1.0469
0.32		1.0499
0.33		1.05298
0.34		1.05614
0.35		1.05939
0.36		1.06272
0.37		1.06613
0.38		1.06961
0.39		1.07318
0.4		1.07683
0.41		1.08055
0.42		1.08435
0.43		1.08822
0.44		1.09217
0.45		1.09618
