Time		Tempurature
22.41		1.68519
22.42		1.68763
22.43		1.69008
22.44		1.69253
22.45		1.69499
22.46		1.69744
22.47		1.69989
22.48		1.70235
22.49		1.70481
22.5		1.70727
22.51		1.70973
22.52		1.71219
22.53		1.71465
22.54		1.71712
22.55		1.71958
22.56		1.72205
22.57		1.72452
22.58		1.72699
22.59		1.72946
22.6		1.73194
22.61		1.73441
22.62		1.73689
22.63		1.73937
22.64		1.74185
22.65		1.74433
22.66		1.74681
22.67		1.7493
22.68		1.75178
22.69		1.75427
22.7		1.75676
22.71		1.75925
22.72		1.76174
22.73		1.76423
22.74		1.76672
22.75		1.76922
22.76		1.77172
22.77		1.77422
22.78		1.77671
22.79		1.77922
22.8		1.78172
22.81		1.78422
22.82		1.78673
22.83		1.78924
22.84		1.79174
22.85		1.79425
22.86		1.79677
22.87		1.79928
22.88		1.80179
22.89		1.80431
22.9		1.80683
22.91		1.80934
22.92		1.81186
22.93		1.81438
22.94		1.81691
22.95		1.81943
22.96		1.82196
22.97		1.82448
22.98		1.82701
22.99		1.82954
23		1.83207
23.01		1.83461
23.02		1.83714
23.03		1.83968
23.04		1.84221
23.05		1.84475
23.06		1.84729
23.07		1.84983
23.08		1.85237
23.09		1.85492
23.1		1.85746
23.11		1.86001
23.12		1.86256
23.13		1.86511
23.14		1.86766
23.15		1.87021
23.16		1.87276
23.17		1.87532
23.18		1.87788
23.19		1.88043
23.2		1.88299
23.21		1.88555
23.22		1.88812
23.23		1.89068
23.24		1.89324
23.25		1.89581
23.26		1.89838
23.27		1.90095
23.28		1.90352
23.29		1.90609
23.3		1.90866
23.31		1.91124
23.32		1.91381
23.33		1.91639
23.34		1.91897
23.35		1.92155
23.36		1.92413
23.37		1.92671
23.38		1.9293
23.39		1.93188
23.4		1.93447
23.41		1.93706
23.42		1.93965
23.43		1.94224
23.44		1.94483
23.45		1.94742
23.46		1.95002
23.47		1.95261
23.48		1.95521
23.49		1.95781
23.5		1.96041
23.51		1.96301
23.52		1.96562
23.53		1.96822
23.54		1.97083
23.55		1.97343
23.56		1.97604
23.57		1.97865
23.58		1.98126
23.59		1.98388
23.6		1.98649
23.61		1.9891
23.62		1.99172
23.63		1.99434
23.64		1.99696
23.65		1.99958
23.66		2.0022
23.67		2.00482
23.68		2.00745
23.69		2.01007
23.7		2.0127
23.71		2.01533
23.72		2.01796
23.73		2.02059
23.74		2.02322
23.75		2.02586
23.76		2.02849
23.77		2.03113
23.78		2.03377
23.79		2.03641
23.8		2.03905
23.81		2.04169
23.82		2.04433
23.83		2.04698
23.84		2.04962
23.85		2.05227
23.86		2.05492
23.87		2.05757
23.88		2.06022
23.89		2.06287
23.9		2.06553
23.91		2.06818
23.92		2.07084
23.93		2.07349
23.94		2.07615
23.95		2.07881
23.96		2.08147
23.97		2.08414
23.98		2.0868
23.99		2.08947
24		2.09213
24.01		2.0948
24.02		2.09747
24.03		2.10014
24.04		2.10281
24.05		2.10549
24.06		2.10816
24.07		2.11084
24.08		2.11351
24.09		2.11619
24.1		2.11887
24.11		2.12155
24.12		2.12423
24.13		2.12692
24.14		2.1296
24.15		2.13229
24.16		2.13498
24.17		2.13766
24.18		2.14035
24.19		2.14305
24.2		2.14574
24.21		2.14843
24.22		2.15113
24.23		2.15382
24.24		2.15652
24.25		2.15922
24.26		2.16192
24.27		2.16462
24.28		2.16732
24.29		2.17003
24.3		2.17273
24.31		2.17544
24.32		2.17815
24.33		2.18086
24.34		2.18357
24.35		2.18628
24.36		2.18899
24.37		2.1917
24.38		2.19442
24.39		2.19713
24.4		2.19985
24.41		2.20257
24.42		2.20529
24.43		2.20801
24.44		2.21074
24.45		2.21346
24.46		2.21618
24.47		2.21891
24.48		2.22164
24.49		2.22437
24.5		2.2271
24.51		2.22983
24.52		2.23256
24.53		2.2353
24.54		2.23803
24.55		2.24077
24.56		2.2435
24.57		2.24624
24.58		2.24898
24.59		2.25172
24.6		2.25447
24.61		2.25721
24.62		2.25996
24.63		2.2627
24.64		2.26545
24.65		2.2682
24.66		2.27095
24.67		2.2737
24.68		2.27645
24.69		2.2792
24.7		2.28196
24.71		2.28472
24.72		2.28747
24.73		2.29023
24.74		2.29299
24.75		2.29575
24.76		2.29851
24.77		2.30128
24.78		2.30404
24.79		2.30681
24.8		2.30957
24.81		2.31234
24.82		2.31511
24.83		2.31788
24.84		2.32065
24.85		2.32343
24.86		2.3262
24.87		2.32897
24.88		2.33175
24.89		2.33453
24.9		2.33731
24.91		2.34009
24.92		2.34287
24.93		2.34565
24.94		2.34844
24.95		2.35122
24.96		2.35401
24.97		2.35679
24.98		2.35958
24.99		2.36237
25		2.36516
25.01		2.36795
25.02		2.37075
25.03		2.37354
25.04		2.37634
25.05		2.37913
25.06		2.38193
25.07		2.38473
25.08		2.38753
25.09		2.39033
25.1		2.39313
25.11		2.39594
25.12		2.39874
25.13		2.40155
25.14		2.40436
25.15		2.40716
25.16		2.40997
25.17		2.41278
25.18		2.4156
25.19		2.41841
25.2		2.42122
25.21		2.42404
25.22		2.42686
25.23		2.42967
25.24		2.43249
25.25		2.43531
25.26		2.43813
25.27		2.44096
25.28		2.44378
25.29		2.4466
25.3		2.44943
25.31		2.45226
25.32		2.45508
25.33		2.45791
25.34		2.46074
25.35		2.46358
