Mass-Number			Cosine-of-Scattering-Angle
11.97			-1.63739e-005
11.98			-1.6319e-005
11.99			-1.62644e-005
12			-1.62101e-005
12.01			-1.61559e-005
12.02			-1.6102e-005
12.03			-1.60483e-005
12.04			-1.59948e-005
12.05			-1.59416e-005
12.06			-1.58886e-005
12.07			-1.58358e-005
12.08			-1.57832e-005
12.09			-1.57308e-005
12.1			-1.56786e-005
12.11			-1.56267e-005
12.12			-1.5575e-005
12.13			-1.55235e-005
12.14			-1.54722e-005
12.15			-1.54211e-005
12.16			-1.53702e-005
12.17			-1.53196e-005
12.18			-1.52691e-005
12.19			-1.52189e-005
12.2			-1.51688e-005
12.21			-1.5119e-005
12.22			-1.50694e-005
12.23			-1.50199e-005
12.24			-1.49707e-005
12.25			-1.49217e-005
12.26			-1.48729e-005
12.27			-1.48243e-005
12.28			-1.47758e-005
12.29			-1.47276e-005
12.3			-1.46796e-005
12.31			-1.46318e-005
12.32			-1.45841e-005
12.33			-1.45367e-005
12.34			-1.44894e-005
12.35			-1.44424e-005
12.36			-1.43955e-005
12.37			-1.43488e-005
12.38			-1.43023e-005
12.39			-1.4256e-005
12.4			-1.42099e-005
12.41			-1.4164e-005
12.42			-1.41183e-005
12.43			-1.40727e-005
12.44			-1.40273e-005
12.45			-1.39822e-005
12.46			-1.39371e-005
12.47			-1.38923e-005
12.48			-1.38477e-005
12.49			-1.38032e-005
12.5			-1.37589e-005
12.51			-1.37148e-005
12.52			-1.36709e-005
12.53			-1.36271e-005
12.54			-1.35835e-005
12.55			-1.35401e-005
12.56			-1.34969e-005
12.57			-1.34538e-005
12.58			-1.34109e-005
12.59			-1.33682e-005
12.6			-1.33257e-005
12.61			-1.32833e-005
12.62			-1.32411e-005
12.63			-1.3199e-005
12.64			-1.31572e-005
12.65			-1.31155e-005
12.66			-1.30739e-005
12.67			-1.30325e-005
12.68			-1.29913e-005
12.69			-1.29503e-005
12.7			-1.29094e-005
12.71			-1.28686e-005
12.72			-1.28281e-005
12.73			-1.27876e-005
12.74			-1.27474e-005
12.75			-1.27073e-005
12.76			-1.26674e-005
12.77			-1.26276e-005
12.78			-1.2588e-005
12.79			-1.25485e-005
12.8			-1.25092e-005
12.81			-1.247e-005
12.82			-1.2431e-005
12.83			-1.23922e-005
12.84			-1.23535e-005
12.85			-1.23149e-005
12.86			-1.22765e-005
12.87			-1.22383e-005
12.88			-1.22002e-005
12.89			-1.21622e-005
12.9			-1.21244e-005
12.91			-1.20868e-005
12.92			-1.20492e-005
12.93			-1.20119e-005
12.94			-1.19747e-005
12.95			-1.19376e-005
12.96			-1.19006e-005
12.97			-1.18639e-005
12.98			-1.18272e-005
12.99			-1.17907e-005
13			-1.17543e-005
13.01			-1.17181e-005
13.02			-1.1682e-005
13.03			-1.16461e-005
13.04			-1.16103e-005
13.05			-1.15746e-005
13.06			-1.15391e-005
13.07			-1.15037e-005
13.08			-1.14684e-005
13.09			-1.14333e-005
13.1			-1.13983e-005
13.11			-1.13634e-005
13.12			-1.13287e-005
13.13			-1.12941e-005
13.14			-1.12596e-005
13.15			-1.12253e-005
13.16			-1.11911e-005
13.17			-1.1157e-005
13.18			-1.11231e-005
13.19			-1.10893e-005
13.2			-1.10556e-005
13.21			-1.1022e-005
13.22			-1.09886e-005
13.23			-1.09553e-005
13.24			-1.09221e-005
13.25			-1.08891e-005
13.26			-1.08562e-005
13.27			-1.08234e-005
13.28			-1.07907e-005
13.29			-1.07581e-005
13.3			-1.07257e-005
13.31			-1.06934e-005
13.32			-1.06612e-005
13.33			-1.06292e-005
13.34			-1.05972e-005
13.35			-1.05654e-005
13.36			-1.05337e-005
13.37			-1.05021e-005
13.38			-1.04706e-005
13.39			-1.04393e-005
13.4			-1.04081e-005
13.41			-1.03769e-005
13.42			-1.03459e-005
13.43			-1.03151e-005
13.44			-1.02843e-005
13.45			-1.02536e-005
