x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
-1.20159		-1.19212			-0.894252			-1.39205			-1.28334			-1.01686			-1.25936			-1.30608			
-1.19159		-1.17015			-0.890311			-1.38958			-1.26177			-1.00778			-1.26026			-1.28719			
-1.18159		-1.14828			-0.88671			-1.38666			-1.24007			-0.999476			-1.26069			-1.26768			
-1.17159		-1.1265			-0.88344			-1.38327			-1.21826			-0.991936			-1.2606			-1.2476			
-1.16159		-1.10482			-0.880492			-1.3794			-1.19639			-0.985144			-1.25995			-1.22704			
-1.15159		-1.08325			-0.877854			-1.37505			-1.17448			-0.979082			-1.25869			-1.20607			
-1.14159		-1.06179			-0.875515			-1.37019			-1.15259			-0.973728			-1.25676			-1.18478			
-1.13159		-1.04046			-0.873465			-1.36484			-1.13073			-0.96906			-1.25413			-1.16325			
-1.12159		-1.01925			-0.871692			-1.35898			-1.10895			-0.965049			-1.25076			-1.14156			
-1.11159		-0.998176			-0.870185			-1.3526			-1.08728			-0.961667			-1.24662			-1.1198			
-1.10159		-0.97724			-0.868932			-1.3457			-1.06575			-0.958883			-1.24169			-1.09805			
-1.09159		-0.956448			-0.86792			-1.33828			-1.04441			-0.956662			-1.23593			-1.0764			
-1.08159		-0.935806			-0.867137			-1.33035			-1.02327			-0.954968			-1.22933			-1.05493			
-1.07159		-0.915319			-0.866572			-1.32188			-1.00238			-0.953763			-1.22188			-1.03372			
-1.06159		-0.894993			-0.866211			-1.31289			-0.981763			-0.953009			-1.21356			-1.01285			
-1.05159		-0.874832			-0.866042			-1.30338			-0.961451			-0.952662			-1.20438			-0.992397			
-1.04159		-0.854843			-0.866052			-1.29335			-0.941473			-0.952681			-1.19432			-0.972431			
-1.03159		-0.83503			-0.866228			-1.2828			-0.921857			-0.953022			-1.18341			-0.953023			
-1.02159		-0.815397			-0.866557			-1.27174			-0.90263			-0.953638			-1.17164			-0.934236			
-1.01159		-0.79595			-0.867025			-1.26017			-0.883816			-0.954486			-1.15904			-0.916131			
-1.00159		-0.776694			-0.867619			-1.24809			-0.865441			-0.955517			-1.14562			-0.898761			
-0.991593		-0.757632			-0.868326			-1.23552			-0.847526			-0.956684			-1.1314			-0.882175			
-0.981593		-0.738769			-0.869133			-1.22247			-0.830093			-0.95794			-1.11642			-0.866417			
-0.971593		-0.720109			-0.870026			-1.20893			-0.813161			-0.959238			-1.1007			-0.851523			
-0.961593		-0.701657			-0.870991			-1.19492			-0.796749			-0.960529			-1.08428			-0.837524			
-0.951593		-0.683416			-0.872015			-1.18046			-0.780873			-0.961767			-1.0672			-0.824444			
-0.941593		-0.665391			-0.873085			-1.16554			-0.765547			-0.962905			-1.04951			-0.812299			
-0.931593		-0.647584			-0.874187			-1.15019			-0.750786			-0.963897			-1.03125			-0.801102			
-0.921593		-0.63			-0.875307			-1.13442			-0.7366			-0.964697			-1.01246			-0.790856			
-0.911593		-0.612642			-0.876432			-1.11824			-0.722999			-0.965261			-0.993205			-0.781557			
-0.901593		-0.595513			-0.87755			-1.10166			-0.709991			-0.965546			-0.973534			-0.773195			
-0.891593		-0.578616			-0.878646			-1.0847			-0.697582			-0.96551			-0.953503			-0.765756			
-0.881593		-0.561955			-0.879707			-1.06738			-0.685776			-0.965113			-0.93317			-0.759216			
-0.871593		-0.545532			-0.88072			-1.04971			-0.674576			-0.964317			-0.912593			-0.753545			
-0.861593		-0.52935			-0.881673			-1.03171			-0.663983			-0.963085			-0.891834			-0.748708			
-0.851593		-0.513412			-0.882553			-1.0134			-0.653995			-0.961382			-0.870953			-0.744666			
-0.841593		-0.497719			-0.883346			-0.994791			-0.64461			-0.959175			-0.850012			-0.741371			
-0.831593		-0.482275			-0.88404			-0.975905			-0.635823			-0.956435			-0.829071			-0.738771			
-0.821593		-0.467082			-0.884624			-0.95676			-0.627629			-0.953133			-0.808193			-0.736811			
-0.811593		-0.452141			-0.885084			-0.937377			-0.620018			-0.949243			-0.787437			-0.73543			
-0.801593		-0.437454			-0.885409			-0.917775			-0.612982			-0.944743			-0.766862			-0.734564			
-0.791593		-0.423023			-0.885587			-0.897974			-0.606508			-0.939612			-0.746529			-0.734145			
-0.781593		-0.40885			-0.885606			-0.877995			-0.600585			-0.933832			-0.726492			-0.734102			
-0.771593		-0.394937			-0.885455			-0.857858			-0.595198			-0.927388			-0.706807			-0.734362			
-0.761593		-0.381283			-0.885123			-0.837584			-0.59033			-0.920268			-0.687526			-0.73485			
-0.751593		-0.367891			-0.8846			-0.817195			-0.585964			-0.912464			-0.6687			-0.73549			
-0.741593		-0.354762			-0.883874			-0.79671			-0.582081			-0.903967			-0.650376			-0.736205			
-0.731593		-0.341896			-0.882935			-0.776153			-0.578662			-0.894775			-0.6326			-0.736918			
-0.721593		-0.329294			-0.881773			-0.755543			-0.575684			-0.884887			-0.615411			-0.737552			
-0.711593		-0.316956			-0.880379			-0.734902			-0.573125			-0.874305			-0.598848			-0.73803			
-0.701593		-0.304884			-0.878742			-0.714253			-0.570961			-0.863035			-0.582945			-0.738279			
-0.691593		-0.293077			-0.876855			-0.693615			-0.569167			-0.851083			-0.567734			-0.738225			
-0.681593		-0.281535			-0.874707			-0.673011			-0.567718			-0.838461			-0.55324			-0.737797			
-0.671593		-0.270259			-0.872291			-0.65246			-0.566586			-0.825182			-0.539486			-0.73693			
-0.661593		-0.259248			-0.869599			-0.631985			-0.565744			-0.811262			-0.52649			-0.735557			
-0.651593		-0.248502			-0.866622			-0.611606			-0.565163			-0.79672			-0.514267			-0.73362			
-0.641593		-0.23802			-0.863353			-0.591343			-0.564814			-0.781577			-0.502826			-0.731063			
-0.631593		-0.227802			-0.859786			-0.571216			-0.564668			-0.765856			-0.492173			-0.727833			
-0.621593		-0.217848			-0.855913			-0.551245			-0.564694			-0.749583			-0.482309			-0.723884			
-0.611593		-0.208155			-0.851728			-0.53145			-0.564862			-0.732787			-0.473231			-0.719176			
-0.601593		-0.198724			-0.847225			-0.511849			-0.565141			-0.715498			-0.46493			-0.713672			
-0.591593		-0.189553			-0.842398			-0.492461			-0.5655			-0.697747			-0.457395			-0.707344			
-0.581593		-0.18064			-0.837243			-0.473304			-0.565908			-0.679569			-0.450611			-0.700166			
-0.571593		-0.171985			-0.831754			-0.454395			-0.566332			-0.660999			-0.444555			-0.692121			
-0.561593		-0.163586			-0.825927			-0.435753			-0.566743			-0.642074			-0.439205			-0.683199			
-0.551593		-0.155441			-0.819758			-0.417393			-0.567108			-0.622833			-0.434533			-0.673393			
-0.541593		-0.147548			-0.813244			-0.39933			-0.567397			-0.603315			-0.430506			-0.662705			
-0.531593		-0.139905			-0.80638			-0.381582			-0.56758			-0.583561			-0.427089			-0.651141			
-0.521593		-0.132511			-0.799166			-0.364161			-0.567625			-0.563613			-0.424245			-0.638717			
-0.511593		-0.125362			-0.791597			-0.347082			-0.567504			-0.543513			-0.421931			-0.625451			
-0.501593		-0.118457			-0.783672			-0.330358			-0.567187			-0.523303			-0.420102			-0.61137			
-0.491593		-0.111794			-0.775389			-0.314002			-0.566646			-0.503027			-0.418714			-0.596504			
-0.481593		-0.105368			-0.766748			-0.298025			-0.565853			-0.482727			-0.417714			-0.580891			
-0.471593		-0.0991787			-0.757748			-0.282439			-0.564781			-0.462448			-0.417054			-0.564572			
-0.461593		-0.093222			-0.748388			-0.267253			-0.563403			-0.442232			-0.416679			-0.547596			
-0.451593		-0.0874952			-0.738668			-0.252477			-0.561696			-0.422122			-0.416535			-0.530013			
-0.441593		-0.0819953			-0.728588			-0.23812			-0.559634			-0.40216			-0.416567			-0.511879			
-0.431593		-0.076719			-0.718151			-0.22419			-0.557195			-0.382388			-0.416717			-0.493255			
-0.421593		-0.0716629			-0.707357			-0.210692			-0.554357			-0.362845			-0.416929			-0.474203			
-0.411593		-0.0668238			-0.696207			-0.197634			-0.551099			-0.343572			-0.417146			-0.45479			
-0.401593		-0.0621979			-0.684704			-0.185021			-0.547403			-0.324607			-0.417311			-0.435083			
-0.391593		-0.0577817			-0.672851			-0.172856			-0.543249			-0.305987			-0.417366			-0.415154			
-0.381593		-0.0535713			-0.66065			-0.161144			-0.538622			-0.287747			-0.417257			-0.395073			
-0.371593		-0.049563			-0.648105			-0.149886			-0.533506			-0.269922			-0.416927			-0.374914			
-0.361593		-0.0457526			-0.635219			-0.139085			-0.527888			-0.252542			-0.416323			-0.35475			
-0.351593		-0.0421363			-0.621997			-0.12874			-0.521755			-0.235639			-0.415393			-0.334654			
-0.341593		-0.0387097			-0.608442			-0.118853			-0.515096			-0.219241			-0.414087			-0.314698			
-0.331593		-0.0354686			-0.594561			-0.109422			-0.507904			-0.203372			-0.412358			-0.294955			
