x		n=2			n=3			n=4			n=5			n=6
-6.08478		0.109432			0.0626809			0.0520738			0.0523351			0.0563918
-6.07478		0.116966			0.0721536			0.0631564			0.0646852			0.0696452
-6.06478		0.124613			0.0818096			0.0744547			0.0772412			0.0830548
-6.05478		0.132369			0.091644			0.0859579			0.0899843			0.0965935
-6.04478		0.140234			0.101652			0.0976551			0.102896			0.110234
-6.03478		0.148205			0.111828			0.109535			0.115956			0.123951
-6.02478		0.156281			0.122168			0.121586			0.129147			0.137718
-6.01478		0.164461			0.132665			0.133797			0.142449			0.151511
-6.00478		0.172741			0.143314			0.146156			0.155844			0.165306
-5.99478		0.181121			0.15411			0.158652			0.169313			0.179081
-5.98478		0.189599			0.165047			0.171272			0.182839			0.192815
-5.97478		0.198172			0.176118			0.184004			0.196403			0.206487
-5.96478		0.206839			0.187318			0.196837			0.209988			0.22008
-5.95478		0.215597			0.198641			0.209758			0.223578			0.233576
-5.94478		0.224445			0.210081			0.222756			0.237155			0.246961
-5.93478		0.23338			0.221631			0.235819			0.250706			0.26022
-5.92478		0.242401			0.233285			0.248934			0.264214			0.273342
-5.91478		0.251504			0.245036			0.262091			0.277665			0.286316
-5.90478		0.260688			0.256879			0.275278			0.291047			0.299134
-5.89478		0.269951			0.268806			0.288482			0.304346			0.311788
-5.88478		0.279289			0.280811			0.301694			0.317551			0.324274
-5.87478		0.288702			0.292888			0.314903			0.33065			0.336588
-5.86478		0.298186			0.305029			0.328096			0.343635			0.348726
-5.85478		0.307738			0.317228			0.341265			0.356495			0.36069
-5.84478		0.317358			0.329479			0.354398			0.369222			0.372479
-5.83478		0.327041			0.341774			0.367487			0.38181			0.384096
-5.82478		0.336786			0.354107			0.380521			0.394251			0.395544
-5.81478		0.34659			0.366472			0.393491			0.406541			0.406827
-5.80478		0.356451			0.378861			0.406389			0.418674			0.417951
-5.79478		0.366365			0.391268			0.419205			0.430648			0.428923
-5.78478		0.37633			0.403687			0.431932			0.44246			0.439749
-5.77478		0.386344			0.41611			0.444563			0.454107			0.450438
-5.76478		0.396404			0.428531			0.457089			0.465589			0.460999
-5.75478		0.406506			0.440944			0.469504			0.476905			0.47144
-5.74478		0.416649			0.453342			0.481801			0.488057			0.481771
-5.73478		0.42683			0.465719			0.493975			0.499045			0.492001
-5.72478		0.437046			0.478069			0.50602			0.509872			0.50214
-5.71478		0.447293			0.490385			0.51793			0.520539			0.512198
-5.70478		0.457569			0.502661			0.529702			0.531051			0.522183
-5.69478		0.467872			0.514892			0.54133			0.541412			0.532104
-5.68478		0.478199			0.52707			0.552812			0.551624			0.541972
-5.67478		0.488545			0.539191			0.564143			0.561694			0.551793
-5.66478		0.49891			0.551249			0.575321			0.571627			0.561576
-5.65478		0.509289			0.563237			0.586343			0.581428			0.571327
-5.64478		0.51968			0.575152			0.597208			0.591102			0.581052
-5.63478		0.53008			0.586986			0.607913			0.600656			0.590758
-5.62478		0.540486			0.598735			0.618458			0.610096			0.600449
-5.61478		0.550894			0.610393			0.628842			0.619428			0.610128
-5.60478		0.561303			0.621957			0.639064			0.628659			0.619799
-5.59478		0.571708			0.63342			0.649124			0.637795			0.629463
-5.58478		0.582108			0.644779			0.659024			0.646842			0.639122
-5.57478		0.592498			0.656028			0.668762			0.655806			0.648775
-5.56478		0.602876			0.667164			0.678341			0.664693			0.658422
-5.55478		0.613239			0.678181			0.687762			0.67351			0.66806
